ID,Effort Mean,Effort SD,Value mean,Value SD,Precedence
A,5.168,0.066,2.896,0.499,
B,4.847,0.196,3.546,0.419,"A,H"
C,5.167,0.241,3.567,0.759,
D,4.870,0.305,3.302,0.760,O
E,4.694,0.187,3.771,0.639,
F,4.658,0.083,3.967,0.574,
G,4.862,0.325,3.143,0.405,
H,4.761,0.157,3.864,0.815,"AD,I"
I,4.806,0.296,3.183,0.706,
J,5.035,0.346,3.138,0.472,
K,5.083,0.094,3.970,0.528,S
L,4.563,0.200,3.989,0.675,
M,4.664,0.235,3.652,0.751,"AD,T"
N,5.195,0.341,3.385,0.743,
O,4.688,0.299,3.263,0.572,
P,5.104,0.126,3.270,0.654,
Q,4.679,0.260,3.054,0.430,
R,4.645,0.107,3.589,0.735,
S,5.118,0.238,3.280,0.612,T
T,4.441,0.293,3.702,0.547,
U,4.534,0.236,3.546,0.471,
V,4.957,0.340,3.259,0.626,
W,4.717,0.244,3.264,0.769,
X,4.347,0.131,3.707,0.637,R
Y,4.975,0.332,3.271,0.772,
Z,4.846,0.159,2.744,0.689,
AB,4.371,0.222,2.826,0.400,
AC,4.886,0.268,3.204,0.477,
AD,4.638,0.167,3.946,0.461,
AE,4.633,0.132,3.103,0.733,P
AF,4.711,0.148,2.973,0.602,W
AG,4.382,0.205,3.284,0.766,
AH,4.634,0.199,3.675,0.641,
AI,4.947,0.320,3.089,0.816,
AJ,5.092,0.348,2.764,0.716,
AK,4.948,0.144,3.323,0.562,
AL,4.897,0.080,3.111,0.552,AB
AM,5.063,0.257,3.306,0.698,
AN,4.497,0.091,2.964,0.431,
AO,4.880,0.328,3.197,0.519,
AP,4.607,0.340,3.129,0.440,
AQ,4.876,0.073,3.506,0.711,
AR,4.421,0.274,3.146,0.719,V
AS,4.737,0.104,3.234,0.682,
AT,4.396,0.105,3.379,0.617,
AU,4.356,0.198,3.591,0.597,
AV,4.613,0.281,3.632,0.499,AD
AW,4.607,0.307,3.274,0.693,
AX,4.553,0.144,2.825,0.773,
AY,4.642,0.219,3.965,0.768,
AZ,4.867,0.189,3.579,0.514,
BA,4.949,0.181,3.882,0.429,
BB,4.595,0.086,3.841,0.438,
BC,5.134,0.092,3.473,0.587,
BD,4.544,0.154,3.626,0.783,
